assists,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
2,3,205,True,True,100,100,6,0.53,184029,3,,-1,1,-2,2,400.9,37,29,1,,0,3,2.0,2.5,1,2.57,0.23,5.13,0.46,2.56,7.96,0.7,0.23,Martin,2.0,184,83,7,0.62,1,82.9,76,47,13,False,203.8,200,83,1018,,2024-09-10T00:30:06.311550Z,83,11,8,0,0,2,0,,184029.jpg,3.4,97,46,0,161,False,0,0.0,Ødegaard,5.7,67,19,False,None,12,1.06,a,1,3,2021-08-20,222.0,80,51,44,829359,9844,1813725,113260,0.2,5.3,Ødegaard,1
0,6,288,True,True,100,100,7,0.35,154561,None,,0,0,1,-1,0.0,713,74,None,,1,1,3.5,4.0,3,0.01,0.0,0.01,0.0,0.00,17.83,0.89,0.0,David,3.5,72,8,18,0.9,0,42.6,208,12,15,False,425.6,39,12,1800,,2024-09-25T21:30:06.211210Z,56,98,1,0,0,None,0,,154561.jpg,3.9,57,9,0,200,False,49,2.45,Raya Martin,30.2,7,1,False,None,20,1.0,a,1,3,2024-07-04,0.0,713,74,78,2515794,34521,2120309,117026,0.6,13.9,Raya,2
3,6,296,True,True,100,100,5,0.33,204480,2,,0,0,-3,3,481.9,21,17,2,,0,3,4.8,5.3,4,3.20,0.21,4.48,0.29,1.28,12.84,0.84,0.08,Declan,4.8,42,19,16,1.04,1,95.2,55,35,16,False,322.4,100,34,1383,,2024-12-14T22:30:07.561621Z,62,60,36,0,0,None,0,,204480.jpg,2.9,143,58,1,241,False,0,0.0,Rice,2.6,118,38,False,None,16,1.04,a,1,3,2023-07-15,153.0,124,83,52,223249,6561,616003,12717,0.8,8.4,Rice,3
11,16,435,True,True,0,0,6,0.43,223340,1,,-1,1,2,-2,630.0,3,3,None,,4,3,0.0,0.0,0,5.60,0.4,9.77,0.7,4.17,10.52,0.75,0.3,Bukayo,0.2,396,187,13,0.92,5,174.9,6,4,17,True,516.2,13,5,1268,Hamstring injury - Expected back 08 Mar,2024-12-21T21:30:07.668871Z,102,4,3,0,0,1,0,,223340.jpg,6.7,4,4,0,241,False,0,0.0,Saka,10.1,35,10,False,None,16,1.14,i,1,3,2018-11-28,604.0,11,7,107,5219864,1290,7512245,101989,0.0,10.5,Saka,3
0,6,315,True,True,100,100,7,0.38,462424,None,,0,0,3,-3,75.7,251,67,None,,2,2,3.2,3.7,2,0.78,0.04,2.66,0.14,1.88,15.19,0.83,0.1,William,3.2,91,26,16,0.87,2,55.0,148,38,18,False,382.6,57,20,1649,,2024-10-19T19:30:06.564445Z,63,57,4,0,0,None,0,,462424.jpg,3.9,60,12,1,73,False,0,0.0,Saliba,29.1,8,1,False,None,19,1.04,a,1,3,2019-07-25,89.0,197,47,74,2130728,27436,3233863,126291,0.5,11.7,Saliba,2
3,5,318,True,True,100,100,4,0.24,167199,None,,0,0,0,0,185.8,126,89,None,,0,3,3.2,3.7,2,1.15,0.07,2.53,0.15,1.38,15.97,0.96,0.08,Thomas,3.2,89,40,16,0.97,2,64.9,117,70,20,False,340.4,87,27,1491,,2024-11-30T22:00:07.258906Z,50,194,120,0,0,None,0,,167199.jpg,3.2,109,50,0,81,False,0,0.0,Partey,0.8,226,69,False,None,16,0.97,a,1,3,2020-10-05,120.0,161,102,61,267599,2739,239827,5122,0.6,12.2,Thomas,2
0,0,0,True,True,100,100,0,0,192895,None,,0,0,-2,2,0.0,568,229,None,,0,2,0.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Kieran,0.0,505,211,0,0,0,0.0,578,230,21,False,0.0,579,230,0,,2024-08-12T14:30:04.394338Z,43,548,120,0,0,None,0,,192895.jpg,0.0,585,230,0,243,False,0,0,Tierney,0.0,550,195,False,None,0,0,a,1,3,2019-08-08,0.0,541,220,0,3077,272,5880,294,0.0,0.0,Tierney,0
0,0,2,True,True,0,0,0,0.0,223723,None,,0,0,-2,2,0.3,456,166,None,,0,2,0.0,0.0,0,0.00,0.0,0.18,2.7,0.18,0.04,0.6,2.7,Tomiyasu,0.0,640,238,0,0.0,0,1.0,470,163,22,False,0.4,487,171,6,Knee injury - Unknown return date,2024-10-18T16:00:06.930143Z,48,303,34,0,0,None,0,,223723.jpg,1.0,445,153,0,108,False,0,0.0,Takehiro,0.0,557,197,False,None,0,0.0,i,1,3,2021-08-31,9.0,368,128,1,1526,40,7572,55,0.0,0.2,Tomiyasu,0
3,5,235,True,True,100,100,5,0.4,116216,4,,0,0,-2,2,270.8,72,58,None,,1,3,3.0,3.5,2,1.76,0.14,4.52,0.36,2.76,9.32,0.75,0.22,Leandro,3.0,110,51,12,0.97,3,84.7,71,45,23,False,260.2,151,57,1112,,2024-11-21T08:30:08.540890Z,68,32,15,0,0,4,0,,116216.jpg,3.0,132,55,1,21,False,0,0.0,Trossard,1.7,159,49,False,None,12,0.97,a,1,3,2023-01-20,317.0,51,31,61,441448,3335,518516,20851,0.4,9.0,Trossard,0
1,0,112,True,True,0,0,3,0.39,198869,None,,0,0,-4,4,55.3,281,78,None,,0,2,0.0,0.0,0,0.32,0.04,0.45,0.06,0.13,9.87,1.28,0.02,Benjamin,0.0,706,244,7,0.91,0,21.3,311,103,24,False,128.4,272,101,694,Knee injury - Unknown return date,2024-11-14T13:00:07.861117Z,61,72,5,0,0,None,0,,198869.jpg,3.0,131,37,0,241,False,0,0.0,White,2.2,129,51,False,None,7,0.91,i,1,3,2021-07-30,29.0,305,100,27,145684,111,973830,4540,0.0,4.4,White,2
